id,text,order,image,solution_pdf,series_id
17,"Dokážte, že pre všetky prirodzené čísla $n$ platí, že 6 delí $n^3 + 11n$.",1,,,3
18,"Štvorciferné číslo $\overline{abcd}$, ktoré spĺňa podmienky
$$a^2 + b^2 = c^2 + d^2,$$
$$a + b = c + d$$
nazývame šikovné. Koľko existuje šikovných štvorciferných čísel?",2,,,3
19,"Ukážte, že pre všetky prirodzené čísla $a$, $b$, $c$, $d$ platí, že $(a - b)(a - c)(a - d)(b - c)(b - d)(d - c)$ je deliteľné 12.",1,,,4
20,"Majme postupnosť čísel, pre ktorú platí $a_2 = 5$ a $a_n = \lfloor \frac{n^2}{a_{n-1}} \rfloor$ pre $n > 2$. Zistite hodnotu $a_{999}$ a svoje riešenie odôvodnite.",2,,,4
34,"Robot Karol stojí na jednom z bodov nekonečnej štvorcovej mriežky. V hlave má dve pamäťové jednotky $A$ a $B$. Keď sa pohne o jednu štvorcovú dĺžku smerom hore, číslo v jednotke $A$ sa zväčší o $1$. Naopak, ak sa pohne smerom dole, toto číslo sa zmenší o $1$. Ak sa pohne smerom doprava, do jednotky $B$ sa pričíta číslo v $A$ a naopak, ak sa pohne smerom doľava, toto číslo sa od čísla v jednotke $B$ odčíta.

Robot Karol sa pri svojom pohybe riadi nasledovnými pravidlami:
- vždy sa posúva iba do najbližších susedných bodov siete (smerom hore, dole, doprava alebo doľava, nie uhlopriečne)
- nikdy sa neposunie do bodu mriežky, ktorý už navštívil (ak nejde o počiatočný bod trasy)
Ak viete, že robot Karol má na začiatku v oboch pamäťových jednotkách hodnotu $0$, dokážte, že po ľubovoľnej prechádzke po štvorcovej sieti, pri ktorej sa vráti naspäť na pôvodné miesto, sa v pamäťovej jednotke $B$ bude nachádzať číslo, ktorého absolútna hodnota udáva obsah plochy, ktorú svojou trasou ohraničil.",3,,,3
35,"Máme desať vrecúšok a v každom je 100 mincí. V deviatich z nich sú pravé mince, ktoré vážia 10 gramov a v jednom sú falošné mince vážiace 11. Ako pomocou jedného váženia a digitálnej váhy zistíte, v ktorom vrecúšku sú falošné mince?",4,,,3
36,"Nech $H$ je ortocentrum ostrouhlého trojuholníka $ABC$. Dotyčnice z bodu $A$ ku kružnici $k$ zostrojenej nad priemerom $BC$ sa dotýkajú kružnice $k$ v bodoch $P$ a $Q$. Dokážte, že body $P$, $Q$, $H$ ležia na jednej priamke.",5,,,3
37,"Určte všetky prirodzené čísla $m$, pre ktoré sa dá štvorec $m \times m$ rozdeliť na päť obdĺžnikov, ktorých dĺžky strán sú $1, 2, \dots, 10$ v nejakom poradí.",6,,,3
38,"V trojuholníku $ABC$ označme $M$ ako stred strany $BC$ a $D$ vnútorný bod strany $AB$. Priesečník $AM$ a $CD$ nazveme $E$. Ukážte, že ak $|AD| = |DE|$, potom $|AB| = |CE|$.",3,,,4
39,"Dokážte, že pre všetky prirodzené čísla $n$ platí
$$n\Big(1 + \frac{1}{2} + \frac{1}{3} + \dots + \frac{1}{n}\Big) \ge 1 + \frac{1}{\sqrt{2}} + \frac{1}{\sqrt{3}} + \dots + \frac{1}{\sqrt{n}} \ge \sqrt{n}.$$",4,,,4
40,"Máme balíček $2n$ rôznych kariet. Každé zamiešanie zmení poradie kariet z $a_1, a_2, \dots, a_n, b_1, b_2, \dots, b_n$ na $a_1, b_1, a_2$, $b_2,\dots, a_n, b_n$. Určte všetky $n$, pre ktoré ak zamiešame balíček 8-krát, budú karty v rovnakom poradí ako na začiatku.",5,,,4
41,"Nech $x_1, x_2, \dots, x_{19}$ sú prirodzené čísla menšie rovné 93 a nech $y_1, \dots, y_{93}$ sú prirodzené čísla menšie rovné 19. Dokážte, že potom existuje (nenulový) súčet niektorých $x_i$, ktorý je rovný súčtu niektorých $y_j$.",6,,,4
47,"V krajine STROMovo je každé mesto spojené leteckými linkami s nanajvýš tromi inými mestami. Všetky letecké linky sú obojsmerné. Z ľubovoľného mesta sa vieme do ľubovoľného iného mesta dosta lietadlom s nanajvýš jedným prestupom. Koľko najviac miest môže by v tejto krajine?

Ak si myslíte, že správna odpoveï je $325$, Vaše riešenie by malo obsahova nielen ukážku toho, že $325$ miest je možných, ale aj zdôvodnenie, že viac miest by v krajine nemôže.
",1,,,5
48,"Danka a Janka hrajú na šachovnici s veľkosou $5\times 5$ hru, pri ktorej sa striedajú v ťahoch. Tá, ktorá je na ťahu, zakryje dve ešte nezakryté políčka šachovnice kúskom domina veľkosti $2\times 1$ (resp. $1\times 2$). Prehráva hráčka, ktorá nemôže urobiť ťah. Pod dĺžkou (ukončenej) hry rozumieme počet ťahov, ktoré sa uskutočnili. Aká najdlhšia a aká najkratšia hra sa dá zahrať pri takýchto pravidlách? 
Nezabudnite uviesť okrem príkladu najdlhšej hry aj dôvody, pre ktoré žiadna iná hra nemôže by dlhšia. Podobne pre najkratšiu možnú hru.",2,,,5
49,"Daný je trojuholník $ABC$. Uvažujme bod $P$, ktorý leží v trojuholníku $ABC$ na osi strany $AB$. K nemu zostrojíme body $Q$ a $R$ ležiace mimo trojuholníka $ABC$ tak, aby trojuholníky $BQC$ a~$CRA$ boli podobné s trojuholníkom $APB$.

a) Nájdite všetky body $P$ také, že body $P$, $Q$, $C$, $R$ ležia na priamke.
b) Predpokladajme, že body $P$, $Q$, $C$, $R$ neležia na priamke. Dokážte, že potom vytvárajú rovnobežník.
V časti a) nestačí len nájsť tieto body. Treba aj zdôvodniť, prečo iné body nevyhovujú.",3,,,5
50,"Majme štyri navzájom rôzne kladné reálne èísla. Dokážte, že z nich vieme
vybra tri čísla a označiť ich $a$, $b$, $c$ tak, že rovnice $ax^2+x+b=0$ (s neznámou $x$), $by^2+y+c=0$ (s neznámou $y$) a~$cz^2+z+a=0$ (s neznámou $z$) buď všetky majú reálny koreň, alebo žiadna z nich nemá reálny koreň.",4,,,5
51,"a) Nájdite všetky dvojice prirodzených čísel také, že ich súčin je pänásobkom ich súčtu. 
b) Nájdite všetky trojice prirodzených čísel také, že ich súčin je pänásobkom ich súčtu.",1,,,6
52,"a) Dokážte, že pre všetky $k>1$ existuje $k$-tica prirodzených čísel takých, že ich súčin je pänásobkom ich súčtu.
b) Rozhodnite, pre ktoré $k>1$ existuje $k$-tica navzájom rôznych prirodzených čísel takých, že ich súčin je pänásobkom ich súčtu.",2,,,6
